date,cnt_rooms,flat_area,rent_base,rent_total,flat_type,flat_interior_quality,flat_condition,flat_age,flat_thermal_characteristic,has_elevator,has_balcony,has_garden,has_kitchen,has_guesttoilet,geo_city,geo_city_part
2018-09-15,1,36,530,650,apartment,average,good,60+,,f,t,t,t,f,hamburg,wandsbek
2018-09-15,2,70,1100,1280,appartment,average,good,60+,,t,t,f,t,f,hamburg,mitte
2018-09-15,2,62.13,1040,1220,apartment,sophisticated,first_time_use,<5,,t,t,f,t,t,hamburg,altona
2018-09-15,2,75,675,950,roof_storey,average,good,<30,104.0,f,t,f,t,t,hamburg,wandsbek
2018-09-15,2,52,676,810,apartment,average,good,60+,,f,t,f,t,f,hamburg,hamburg-nord
2018-09-15,2,66.86,1500,1800,apartment,sophisticated,good,<40,100.2,t,t,t,t,f,hamburg,hamburg-nord
2018-09-15,3,66.49,742.69,925.69,ground_floor,average,good,60+,121.0,f,t,f,t,f,hamburg,mitte
2018-09-15,3,63.02,674.8,837.8,apartment,average,good,<60,145.0,f,t,f,f,f,hamburg,eimsbuettel
2018-09-15,3,79.78,1350,1574,appartment,sophisticated,first_time_use,<5,,t,t,f,t,t,hamburg,altona
2018-09-15,3,76,1100,1260,apartment,sophisticated,mint_condition,<10,,t,t,f,t,t,hamburg,eimsbuettel
2018-09-15,3,80,1240,1450,apartment,average,first_time_use_after_refurbishment,60+,145.21,f,t,f,f,t,hamburg,hamburg-nord
2018-09-15,3,62.91,701.45,873.45,ground_floor,average,good,60+,122.0,f,t,f,f,f,hamburg,mitte
2018-09-15,3,70,780,950,terraced_flat,average,good,60+,,f,t,f,t,f,hamburg,altona
2018-09-15,4,74.49,1020,1215,terraced_flat,average,good,60+,121.21,f,t,t,f,f,hamburg,eimsbuettel
2018-09-15,4,80,970,1170,apartment,sophisticated,mint_condition,<5,,t,t,f,t,f,hamburg,altona
2018-09-16,1,18,548,548,apartment,normal,good,60+,,t,t,t,t,f,hamburg,wandsbek
2018-09-16,1,25.51,280,385,apartment,simple,good,<30,,t,f,f,t,f,hamburg,bergedorf
2018-09-16,1,35,520,600,apartment,average,good,<60,,f,t,f,t,f,hamburg,eimsbuettel
2018-09-16,1,30,365,415,apartment,average,good,60+,,f,t,f,t,f,hamburg,hamburg-nord
2018-09-16,1,30.07,750,853.35,apartment,sophisticated,first_time_use,<5,82.0,t,t,f,t,f,hamburg,altona
2018-09-16,2,62,680,820,apartment,sophisticated,renovated,<60,179.0,f,t,t,t,f,hamburg,hamburg-nord
2018-09-16,2,47.9,588,755,appartment,average,good,60+,,f,f,f,f,f,hamburg,mitte
2018-09-16,2,60,900,1100,apartment,sophisticated,first_time_use,<5,,t,t,f,t,f,hamburg,mitte
2018-09-16,2,65,650,800,ground_floor,normal,good,<50,234.7,f,t,f,t,f,hamburg,hamburg-nord
2018-09-16,3,54,720,850,appartment,average,good,60+,,f,t,f,t,f,hamburg,hamburg-nord
2018-09-16,3,62,560,655,apartment,simple,renovated,60+,,f,f,f,f,f,hamburg,bergedorf
2018-09-16,3,58,887,887,appartment,average,good,60+,,f,f,f,f,f,hamburg,hamburg-nord
2018-09-16,3,80.2,938.34,1233.17,apartment,sophisticated,mint_condition,<5,45.0,t,t,f,t,t,hamburg,bergedorf
2018-09-16,3,64,1000,1250,apartment,sophisticated,good,<30,94.1,f,t,f,t,f,hamburg,hamburg-nord
2018-09-16,3,91.65,1490,1800,maisonette,average,good,60+,,f,t,f,t,f,hamburg,hamburg-nord
2018-09-16,3,62.5,625,790,appartment,normal,good,60+,160.0,f,t,f,t,f,hamburg,mitte
2018-09-16,3,76,780,960,apartment,average,good,60+,,f,t,f,t,f,hamburg,eimsbuettel
2018-09-16,4,73,998,1148,apartment,sophisticated,renovated,60+,,f,t,t,t,f,hamburg,wandsbek
2018-09-16,4,98,1200,1400,ground_floor,average,mint_condition,<5,39.0,f,t,t,t,f,hamburg,bergedorf
2018-09-17,1,25,560,690,apartment,average,renovated,60+,126.4,f,f,f,f,f,hamburg,eimsbuettel
